track_name,album,artists,duration_ms,episode,explicit,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,acousticness,analysis_url,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
Pure Cocaine,Street Gossip,Lil Baby,154023,False,True,https://api.spotify.com/v1/tracks/577YBGuskWkVDCxZrLRB4v,577YBGuskWkVDCxZrLRB4v,False,Pure Cocaine,83,,True,2,track,spotify:track:577YBGuskWkVDCxZrLRB4v,0.00127,https://api.spotify.com/v1/audio-analysis/577YBGuskWkVDCxZrLRB4v,0.964,0.487,6.57e-06,10,0.115,-6.071,0,0.421,127.05,4,https://api.spotify.com/v1/tracks/577YBGuskWkVDCxZrLRB4v,0.107
Pure Water (with Migos),Pure Water (with Migos),"Mustard, Migos",194519,False,True,https://api.spotify.com/v1/tracks/63cd4JkwGgYJrbOizbfmsp,63cd4JkwGgYJrbOizbfmsp,False,Pure Water (with Migos),81,,True,1,track,spotify:track:63cd4JkwGgYJrbOizbfmsp,0.172,https://api.spotify.com/v1/audio-analysis/63cd4JkwGgYJrbOizbfmsp,0.68,0.559,0.0,0,0.318,-5.545,1,0.129,202.006,4,https://api.spotify.com/v1/tracks/63cd4JkwGgYJrbOizbfmsp,0.137
Startender (feat. Offset and Tyga),Startender (feat. Offset and Tyga),"A Boogie Wit da Hoodie, Tyga, Offset",192779,False,True,https://api.spotify.com/v1/tracks/6uSSupG4TMu3vW8QgynAB6,6uSSupG4TMu3vW8QgynAB6,False,Startender (feat. Offset and Tyga),85,https://p.scdn.co/mp3-preview/26328dae6170f2d51ef6b52abc97b97cec84c271?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:6uSSupG4TMu3vW8QgynAB6,0.0235,https://api.spotify.com/v1/audio-analysis/6uSSupG4TMu3vW8QgynAB6,0.736,0.622,0.0,6,0.151,-4.653,0,0.133,191.971,4,https://api.spotify.com/v1/tracks/6uSSupG4TMu3vW8QgynAB6,0.506
Twerk (feat. Cardi B),Girl Code,"City Girls, Cardi B",166476,False,True,https://api.spotify.com/v1/tracks/4DyBx5MYoq8RsU33cEAIxT,4DyBx5MYoq8RsU33cEAIxT,False,Twerk (feat. Cardi B),80,,True,4,track,spotify:track:4DyBx5MYoq8RsU33cEAIxT,0.122,https://api.spotify.com/v1/audio-analysis/4DyBx5MYoq8RsU33cEAIxT,0.788,0.841,0.0011,4,0.166,-4.006,0,0.143,190.089,4,https://api.spotify.com/v1/tracks/4DyBx5MYoq8RsU33cEAIxT,0.493
Sauce!,"XXXTENTACION Presents: Members Only, Vol. 4",XXXTENTACION,144724,False,True,https://api.spotify.com/v1/tracks/3jq1RpStaB1YGyN3rRZGca,3jq1RpStaB1YGyN3rRZGca,False,Sauce!,82,https://p.scdn.co/mp3-preview/19e8df4ce6af365de63a13f5fc1c038d69d29591?cid=ccc3919df33944f38d2102cf87c47c53,True,3,track,spotify:track:3jq1RpStaB1YGyN3rRZGca,0.582,https://api.spotify.com/v1/audio-analysis/3jq1RpStaB1YGyN3rRZGca,0.68,0.313,0.0,3,0.19,-13.672,0,0.0347,135.034,4,https://api.spotify.com/v1/tracks/3jq1RpStaB1YGyN3rRZGca,0.405
Armed And Dangerous,Armed And Dangerous,Juice WRLD,169999,False,True,https://api.spotify.com/v1/tracks/6SAKXCj5jyF6IgPCPbZ5ra,6SAKXCj5jyF6IgPCPbZ5ra,False,Armed And Dangerous,68,,True,1,track,spotify:track:6SAKXCj5jyF6IgPCPbZ5ra,0.186,https://api.spotify.com/v1/audio-analysis/6SAKXCj5jyF6IgPCPbZ5ra,0.736,0.67,0.0,10,0.114,-6.702,1,0.311,130.032,4,https://api.spotify.com/v1/tracks/6SAKXCj5jyF6IgPCPbZ5ra,0.845
Thotiana,Famous Cryp,Blueface,129264,False,True,https://api.spotify.com/v1/tracks/3oh6SCCeLuXhFpEyepla6G,3oh6SCCeLuXhFpEyepla6G,False,Thotiana,85,https://p.scdn.co/mp3-preview/86190aba97b38d4906c5312cad98263f26fbd0a5?cid=ccc3919df33944f38d2102cf87c47c53,True,3,track,spotify:track:3oh6SCCeLuXhFpEyepla6G,0.18,https://api.spotify.com/v1/audio-analysis/3oh6SCCeLuXhFpEyepla6G,0.906,0.382,0.0,10,0.113,-12.89,0,0.269,104.025,4,https://api.spotify.com/v1/tracks/3oh6SCCeLuXhFpEyepla6G,0.391
Calling My Spirit,Calling My Spirit,Kodak Black,152000,False,True,https://api.spotify.com/v1/tracks/6bXSYxP6WDlNCr6Jk1H3MW,6bXSYxP6WDlNCr6Jk1H3MW,False,Calling My Spirit,65,https://p.scdn.co/mp3-preview/9729bbc13a02af619fe78d0ceca21a65ff8dae11?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:6bXSYxP6WDlNCr6Jk1H3MW,0.0927,https://api.spotify.com/v1/audio-analysis/6bXSYxP6WDlNCr6Jk1H3MW,0.908,0.365,0.0,1,0.261,-9.954,1,0.0942,119.977,4,https://api.spotify.com/v1/tracks/6bXSYxP6WDlNCr6Jk1H3MW,0.742
Swervin (feat. 6ix9ine),Hoodie SZN,"A Boogie Wit da Hoodie, 6ix9ine",189486,False,True,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,1wJRveJZLSb1rjhnUHQiv6,False,Swervin (feat. 6ix9ine),86,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=ccc3919df33944f38d2102cf87c47c53,True,4,track,spotify:track:1wJRveJZLSb1rjhnUHQiv6,0.0153,https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6,0.581,0.662,0.0,9,0.111,-5.239,1,0.303,93.023,4,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,0.434
Nuketown (feat. Juice WRLD),STOKELEY,"Ski Mask The Slump God, Juice WRLD",166400,False,True,https://api.spotify.com/v1/tracks/74lnM5V6ecvoTPV0fvptx9,74lnM5V6ecvoTPV0fvptx9,False,Nuketown (feat. Juice WRLD),85,,True,2,track,spotify:track:74lnM5V6ecvoTPV0fvptx9,0.113,https://api.spotify.com/v1/audio-analysis/74lnM5V6ecvoTPV0fvptx9,0.808,0.617,0.0,10,0.734,-9.32,0,0.442,149.962,4,https://api.spotify.com/v1/tracks/74lnM5V6ecvoTPV0fvptx9,0.632
Crushed Up,Crushed Up,Future,150323,False,True,https://api.spotify.com/v1/tracks/7AYuSG1LoaaFVKjOxsB6Vh,7AYuSG1LoaaFVKjOxsB6Vh,False,Crushed Up,81,,True,1,track,spotify:track:7AYuSG1LoaaFVKjOxsB6Vh,0.0372,https://api.spotify.com/v1/audio-analysis/7AYuSG1LoaaFVKjOxsB6Vh,0.782,0.599,0.0,10,0.175,-6.817,0,0.209,157.999,4,https://api.spotify.com/v1/tracks/7AYuSG1LoaaFVKjOxsB6Vh,0.586
Put a Date On It (feat. Lil Baby),Put a Date On It (feat. Lil Baby),"Yo Gotti, Lil Baby",195257,False,True,https://api.spotify.com/v1/tracks/6PRh0ilIMEP1xlUHqalnkD,6PRh0ilIMEP1xlUHqalnkD,False,Put a Date On It (feat. Lil Baby),76,https://p.scdn.co/mp3-preview/a972acdaefc637e1edc9221aea4d56f5714ee59c?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:6PRh0ilIMEP1xlUHqalnkD,0.0123,https://api.spotify.com/v1/audio-analysis/6PRh0ilIMEP1xlUHqalnkD,0.835,0.659,0.0,4,0.372,-5.696,1,0.31,129.93,4,https://api.spotify.com/v1/tracks/6PRh0ilIMEP1xlUHqalnkD,0.579
Racks on Racks,Racks on Racks,Lil Pump,129777,False,True,https://api.spotify.com/v1/tracks/0SfG57HqtBNqKN9O27fo1s,0SfG57HqtBNqKN9O27fo1s,False,Racks on Racks,77,https://p.scdn.co/mp3-preview/b459d9e42d09aa79567aa1a52cb13181dfc8dfb1?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:0SfG57HqtBNqKN9O27fo1s,0.0991,https://api.spotify.com/v1/audio-analysis/0SfG57HqtBNqKN9O27fo1s,0.731,0.583,0.0,1,0.364,-5.152,1,0.086,150.092,4,https://api.spotify.com/v1/tracks/0SfG57HqtBNqKN9O27fo1s,0.123
Drip Too Hard,Drip Too Hard,"Lil Baby, Gunna",145603,False,True,https://api.spotify.com/v1/tracks/1BxkZE73h9BN3qwuA15TA3,1BxkZE73h9BN3qwuA15TA3,False,Drip Too Hard,86,,True,1,track,spotify:track:1BxkZE73h9BN3qwuA15TA3,0.0945,https://api.spotify.com/v1/audio-analysis/1BxkZE73h9BN3qwuA15TA3,0.9,0.653,0.0,1,0.528,-6.962,0,0.289,112.503,4,https://api.spotify.com/v1/tracks/1BxkZE73h9BN3qwuA15TA3,0.399
ZEZE (feat. Travis Scott & Offset),ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",228653,False,True,https://api.spotify.com/v1/tracks/7l3E7lcozEodtVsSTCkcaA,7l3E7lcozEodtVsSTCkcaA,False,ZEZE (feat. Travis Scott & Offset),78,https://p.scdn.co/mp3-preview/a6f1289a51784c38125ea962755cfd927c1ebb9e?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:7l3E7lcozEodtVsSTCkcaA,0.0515,https://api.spotify.com/v1/audio-analysis/7l3E7lcozEodtVsSTCkcaA,0.861,0.637,3.35e-06,8,0.0967,-5.692,0,0.24,98.044,4,https://api.spotify.com/v1/tracks/7l3E7lcozEodtVsSTCkcaA,0.474
whoa (mind in awe),SKINS,XXXTENTACION,157776,False,False,https://api.spotify.com/v1/tracks/7pdF27mSDuPWhppnHAmWHa,7pdF27mSDuPWhppnHAmWHa,False,whoa (mind in awe),88,https://p.scdn.co/mp3-preview/f69b47e8941ef8f49fc89296f9e4099e7a990c8c?cid=ccc3919df33944f38d2102cf87c47c53,True,4,track,spotify:track:7pdF27mSDuPWhppnHAmWHa,0.653,https://api.spotify.com/v1/audio-analysis/7pdF27mSDuPWhppnHAmWHa,0.735,0.525,0.918,6,0.101,-2.939,0,0.0441,160.147,4,https://api.spotify.com/v1/tracks/7pdF27mSDuPWhppnHAmWHa,0.369
monster,i am > i was,21 Savage,233039,False,True,https://api.spotify.com/v1/tracks/2FUNBaa5DwItJtYEBgAblU,2FUNBaa5DwItJtYEBgAblU,False,monster,86,https://p.scdn.co/mp3-preview/77673ecb9ddb7745608b96d83543d39e8481c996?cid=ccc3919df33944f38d2102cf87c47c53,True,13,track,spotify:track:2FUNBaa5DwItJtYEBgAblU,0.158,https://api.spotify.com/v1/audio-analysis/2FUNBaa5DwItJtYEBgAblU,0.89,0.607,0.000228,9,0.118,-6.916,0,0.124,134.022,4,https://api.spotify.com/v1/tracks/2FUNBaa5DwItJtYEBgAblU,0.224
Leave Me Alone,Leave Me Alone,Flipp Dinero,195637,False,True,https://api.spotify.com/v1/tracks/5vDvBD3ReINP8dXUplj477,5vDvBD3ReINP8dXUplj477,False,Leave Me Alone,30,,True,1,track,spotify:track:5vDvBD3ReINP8dXUplj477,0.107,https://api.spotify.com/v1/audio-analysis/5vDvBD3ReINP8dXUplj477,0.792,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,https://api.spotify.com/v1/tracks/5vDvBD3ReINP8dXUplj477,0.742
TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,TAlk tO Me (with Rich The Kid feat. Lil Wayne) [Remix],"Tory Lanez, Rich The Kid, Lil Wayne",248520,False,True,https://api.spotify.com/v1/tracks/51w9Jbat1pLeWINGCpnQUR,51w9Jbat1pLeWINGCpnQUR,False,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,81,,True,1,track,spotify:track:51w9Jbat1pLeWINGCpnQUR,0.0226,https://api.spotify.com/v1/audio-analysis/51w9Jbat1pLeWINGCpnQUR,0.698,0.66,0.0,0,0.0622,-7.883,1,0.052,159.949,4,https://api.spotify.com/v1/tracks/51w9Jbat1pLeWINGCpnQUR,0.451
YOSEMITE,ASTROWORLD,Travis Scott,150043,False,True,https://api.spotify.com/v1/tracks/7lAK3oHbfEnvUQWosrMMpR,7lAK3oHbfEnvUQWosrMMpR,False,YOSEMITE,87,https://p.scdn.co/mp3-preview/93e6cdc0f8d46ff0d4dc1b9325f4a064ba32c5c8?cid=ccc3919df33944f38d2102cf87c47c53,True,12,track,spotify:track:7lAK3oHbfEnvUQWosrMMpR,0.283,https://api.spotify.com/v1/audio-analysis/7lAK3oHbfEnvUQWosrMMpR,0.785,0.554,3.4e-06,0,0.116,-6.571,1,0.0409,128.047,4,https://api.spotify.com/v1/tracks/7lAK3oHbfEnvUQWosrMMpR,0.144
10 Freaky Girls (with 21 Savage),NOT ALL HEROES WEAR CAPES,"Metro Boomin, 21 Savage",208293,False,True,https://api.spotify.com/v1/tracks/43lYaovU2FoeuBMNusVVVW,43lYaovU2FoeuBMNusVVVW,False,10 Freaky Girls (with 21 Savage),59,,True,6,track,spotify:track:43lYaovU2FoeuBMNusVVVW,0.588,https://api.spotify.com/v1/audio-analysis/43lYaovU2FoeuBMNusVVVW,0.81,0.353,0.0,6,0.102,-9.931,0,0.31,88.031,4,https://api.spotify.com/v1/tracks/43lYaovU2FoeuBMNusVVVW,0.0727
KIKA (feat. Tory Lanez),DUMMY BOY,"6ix9ine, Tory Lanez",136031,False,True,https://api.spotify.com/v1/tracks/6Gy7rXB6Ku5vIWC7WGWsl3,6Gy7rXB6Ku5vIWC7WGWsl3,False,KIKA (feat. Tory Lanez),88,https://p.scdn.co/mp3-preview/4da565a9504f5181f3495a36847da1fa9cbe6641?cid=ccc3919df33944f38d2102cf87c47c53,True,4,track,spotify:track:6Gy7rXB6Ku5vIWC7WGWsl3,0.128,https://api.spotify.com/v1/audio-analysis/6Gy7rXB6Ku5vIWC7WGWsl3,0.745,0.715,0.0,1,0.182,-3.368,0,0.245,94.513,4,https://api.spotify.com/v1/tracks/6Gy7rXB6Ku5vIWC7WGWsl3,0.342
Butterfly Doors,Butterfly Doors,Lil Pump,132923,False,True,https://api.spotify.com/v1/tracks/4NdXQlDTzxbOMkzJGWFtz3,4NdXQlDTzxbOMkzJGWFtz3,False,Butterfly Doors,85,https://p.scdn.co/mp3-preview/452b1a52556442cab425d46b31dd7e7ea9a402ba?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:4NdXQlDTzxbOMkzJGWFtz3,0.0889,https://api.spotify.com/v1/audio-analysis/4NdXQlDTzxbOMkzJGWFtz3,0.925,0.397,5.12e-05,5,0.144,-11.265,1,0.169,130.008,4,https://api.spotify.com/v1/tracks/4NdXQlDTzxbOMkzJGWFtz3,0.429
"Never Recover (Lil Baby & Gunna, Drake)",Drip Harder,"Lil Baby, Gunna, Drake",194732,False,True,https://api.spotify.com/v1/tracks/6wWaVoUOzLQJHd3bWAUpdZ,6wWaVoUOzLQJHd3bWAUpdZ,False,"Never Recover (Lil Baby & Gunna, Drake)",84,,True,13,track,spotify:track:6wWaVoUOzLQJHd3bWAUpdZ,0.0716,https://api.spotify.com/v1/audio-analysis/6wWaVoUOzLQJHd3bWAUpdZ,0.757,0.69,0.0,1,0.192,-5.327,0,0.282,132.064,4,https://api.spotify.com/v1/tracks/6wWaVoUOzLQJHd3bWAUpdZ,0.914
1400 / 999 Freestyle,A Love Letter To You 3,"Trippie Redd, Juice WRLD",175954,False,True,https://api.spotify.com/v1/tracks/75lcPkAkUsKWHGBlGM476R,75lcPkAkUsKWHGBlGM476R,False,1400 / 999 Freestyle,83,,True,13,track,spotify:track:75lcPkAkUsKWHGBlGM476R,0.0079,https://api.spotify.com/v1/audio-analysis/75lcPkAkUsKWHGBlGM476R,0.825,0.572,0.0,6,0.113,-6.067,0,0.0864,141.991,4,https://api.spotify.com/v1/tracks/75lcPkAkUsKWHGBlGM476R,0.568
SICKO MODE,ASTROWORLD,Travis Scott,312820,False,True,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,False,SICKO MODE,94,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=ccc3919df33944f38d2102cf87c47c53,True,3,track,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,4,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,0.446
BiPolar (feat. Quavo),BiPolar (feat. Quavo),"Gucci Mane, Quavo",214641,False,True,https://api.spotify.com/v1/tracks/4fGT0JiaqoHShrg6uSsKfB,4fGT0JiaqoHShrg6uSsKfB,False,BiPolar (feat. Quavo),76,https://p.scdn.co/mp3-preview/e00971f24bacac13063ae36352d50b70f5141ef6?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:4fGT0JiaqoHShrg6uSsKfB,0.144,https://api.spotify.com/v1/audio-analysis/4fGT0JiaqoHShrg6uSsKfB,0.747,0.569,0.0,8,0.18,-6.679,1,0.146,157.056,4,https://api.spotify.com/v1/tracks/4fGT0JiaqoHShrg6uSsKfB,0.167
Project Dreams,Project Dreams,"Marshmello, Roddy Ricch",167898,False,False,https://api.spotify.com/v1/tracks/0PowxVSTY2uh1CPc8EPKyX,0PowxVSTY2uh1CPc8EPKyX,False,Project Dreams,83,,True,1,track,spotify:track:0PowxVSTY2uh1CPc8EPKyX,0.42,https://api.spotify.com/v1/audio-analysis/0PowxVSTY2uh1CPc8EPKyX,0.777,0.831,0.0,8,0.105,-2.129,1,0.177,160.153,4,https://api.spotify.com/v1/tracks/0PowxVSTY2uh1CPc8EPKyX,0.791
STARGAZING,ASTROWORLD,Travis Scott,270714,False,True,https://api.spotify.com/v1/tracks/7wBJfHzpfI3032CSD7CE2m,7wBJfHzpfI3032CSD7CE2m,False,STARGAZING,84,https://p.scdn.co/mp3-preview/d2d23f9ea674dffde91d99783732b092655ccaf6?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:7wBJfHzpfI3032CSD7CE2m,0.00947,https://api.spotify.com/v1/audio-analysis/7wBJfHzpfI3032CSD7CE2m,0.487,0.789,4.05e-06,8,0.189,-3.69,1,0.044,150.007,4,https://api.spotify.com/v1/tracks/7wBJfHzpfI3032CSD7CE2m,0.0564
Noticed,Noticed,Lil Mosey,165000,False,True,https://api.spotify.com/v1/tracks/7d6XJZjnm7iWcKwYL9z5kC,7d6XJZjnm7iWcKwYL9z5kC,False,Noticed,51,,True,1,track,spotify:track:7d6XJZjnm7iWcKwYL9z5kC,0.462,https://api.spotify.com/v1/audio-analysis/7d6XJZjnm7iWcKwYL9z5kC,0.699,0.558,0.0,11,0.116,-7.622,1,0.0603,79.992,4,https://api.spotify.com/v1/tracks/7d6XJZjnm7iWcKwYL9z5kC,0.493
Girls Have Fun (feat. G-Eazy & Rich The Kid),Girls Have Fun (feat. G-Eazy & Rich The Kid),"Tyga, G-Eazy, Rich The Kid",175710,False,True,https://api.spotify.com/v1/tracks/1NHlyKgtR4roNylOhidKSv,1NHlyKgtR4roNylOhidKSv,False,Girls Have Fun (feat. G-Eazy & Rich The Kid),79,https://p.scdn.co/mp3-preview/b89220377571b48e6fb28b30ad3305444b801372?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:1NHlyKgtR4roNylOhidKSv,0.00586,https://api.spotify.com/v1/audio-analysis/1NHlyKgtR4roNylOhidKSv,0.888,0.74,0.0,8,0.218,-5.363,1,0.238,100.003,4,https://api.spotify.com/v1/tracks/1NHlyKgtR4roNylOhidKSv,0.664
Money,Money,Cardi B,183527,False,True,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e,2GGMabyHXnJmjY6CXhhB2e,False,Money,88,https://p.scdn.co/mp3-preview/98ae39c7808d3c596f59e02311236f04f5201940?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:2GGMabyHXnJmjY6CXhhB2e,0.00534,https://api.spotify.com/v1/audio-analysis/2GGMabyHXnJmjY6CXhhB2e,0.95,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,4,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e,0.219
LOSE IT (feat. Lil Baby),QUAVO HUNCHO,"Quavo, Lil Baby",237654,False,True,https://api.spotify.com/v1/tracks/69PkhA9q3xCWU2CzoZnLAu,69PkhA9q3xCWU2CzoZnLAu,False,LOSE IT (feat. Lil Baby),76,,True,12,track,spotify:track:69PkhA9q3xCWU2CzoZnLAu,0.0161,https://api.spotify.com/v1/audio-analysis/69PkhA9q3xCWU2CzoZnLAu,0.962,0.573,0.0,7,0.109,-5.924,1,0.308,125.035,4,https://api.spotify.com/v1/tracks/69PkhA9q3xCWU2CzoZnLAu,0.728
Casper,The Last Rocket,Takeoff,197079,False,True,https://api.spotify.com/v1/tracks/1B4gJRq61xTs6r1O0Uq2iY,1B4gJRq61xTs6r1O0Uq2iY,False,Casper,78,,True,8,track,spotify:track:1B4gJRq61xTs6r1O0Uq2iY,0.525,https://api.spotify.com/v1/audio-analysis/1B4gJRq61xTs6r1O0Uq2iY,0.921,0.607,1.12e-06,1,0.123,-7.397,1,0.209,140.071,4,https://api.spotify.com/v1/tracks/1B4gJRq61xTs6r1O0Uq2iY,0.753
